At_CU,Access_ID,Box_No,Folder_Name,Goldsmiths_Binder,Goldsmiths_Binder_Starting_Page,Exact_Date,Exact_Unitdate,Implied_Date,Implied_Unitdate,Extent_Pages,Sender_Name,Sender_Address,Sender_Town,Sender_Address_Merged,Sender_Organization,Recipient_Name,Recipient_Address,Recipient_Town,Recipient_Address_Merged,Recipient Organization,Type,Format,Version,Language,Provenance,Notes,"Notes_Other
",Clues for unidentifiable
Y,1417,1,"1923, February",IV,48,1923-02-01,01 February 1923,,,4,Alexei Fedorovich Staal,6 Rue Blaise Desgoffe,Paris,"6 Rue Blaise Desgoffe, Paris",Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Original,Russian,Bibliothèque Nationale de France,,,
Y,1418,1,"1923, February",IV,52,1923-02-02,02 February 1923,,,1,Evgenii Griunberg,Neue Promenade 6,Berlin,"Neue Promenade 6, Berlin",Not stated,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Letter,Typed,Original,Russian,Bibliothèque Nationale de France,,,
Y,1419,1,"1923, February",IV,53,1923-02-06,06 February 1923,,,2,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Evgenii Griunberg,Neue Promenade 6,Berlin,"Neue Promenade 6, Berlin",Not stated,Letter,Draft,Original,Russian,Bibliothèque Nationale de France,"On verso of letter from Evgenii Griunberg to Sergei Prokofiev dated February 2nd, 1923.",,
Y,1420,1,"1923, February",IV,54,1923-02-05,05 February 1923,,,2,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Alexander Kreisler,Not stated,Berlin,Berlin,Not stated,Letter,Draft,Original,Russian,Bibliothèque Nationale de France,,,
Y,1421,1,"1923, February",IV,56,1923-02-06,06 February 1923,,,1,Clerical assistant,Los Madrazo 14,Madrid,"Los Madrazo 14, Madrid","Sociedad Musical Daniel, S.A.",Sergey Sergeevich Prokofiev,Villa Christophorus,Ettal,"Villa Christophorus, Ettal",Not stated,Letter,Typed,Original,French,Bibliothèque Nationale de France,,,
Y,1422,1,"1923, February",IV,57,1923-02-06,06 February 1923,,,1,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,M. Van Camp,Not stated,Not stated,Not stated,Not stated,Letter,Draft,Original,French,Bibliothèque Nationale de France,Addressed to 'Van Camp'? On the same page with Document ID 1423,,
Y,1423,1,"1923, February",IV,57a,1923-02-06,06 February 1923,,,2,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,La Lecture Universelle,Not stated,Not stated,Not stated,Not stated,Letter,Draft,Original,French,Bibliothèque Nationale de France,On the same page with Document ID 1423,,
Y,,1,"1923, February",Not applicable,,1923-02-06,06 February 1923,,,2,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Jean Gay,Not stated,Angers,Angers,Not stated,Letter,Draft,Original,French,Bibliothèque Nationale de France,,,
N,1394,,,IV,19,1923-02-11,11 February 1923,,,1,Alexander Kirillovich Borovsky,Not stated,Barcelona,Barcelona,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,Addressed from 'Hotel Regina'.,,
Y,1424,1,"1923, February",IV,59,1923-02-12,12 February 1923,,,3,Sergey Sergeevich Prokofiev,Not stated,Milan,Milan,Not stated,Clerical assistant,Nürnbergerstrasse 36,Leipzig,"Nürnbergerstrasse 36, Leipzig",Breitkopf & Hartel,Letter,Draft,Original,English,Bibliothèque Nationale de France,,,
Y,1425,1,"1923, February",IV,61,1923-02-17,17 February 1923,,,1,Sergey Sergeevich Prokofiev,Not stated,Barcelona,Barcelona,Not stated,Sociedad Musical Daniel,Los Madrazo 14,Madrid,"Los Madrazo 14, Madrid",Not stated,Letter,Draft,Original,French,Bibliothèque Nationale de France,From 'Hotel España',,
Y,1427,1,"1923, February",IV,64,1923-02-20,20 February 1923,,,2,Sergey Sergeevich Prokofiev,Not stated,Barcelona,Barcelona,Not stated,M. Salva,Not stated,Valencia,Valencia,Not stated,Letter,Draft,Original,French,Bibliothèque Nationale de France,From 'Hotel España'.,,
Y,1431,1,"1923, February",IV,71,1923-02-20,20 February 1923,,,2,Sergey Sergeevich Prokofiev,Not stated,Barcelona,Barcelona,Not stated,Sociedad Musical Daniel,Not stated,Valencia,Valencia,Not stated,Letter,Handwritten,Original,French,Bibliothèque Nationale de France,"From 'Hotel España' Addressed to 'Monsieur Salva, Secretare de la Societé Filarmonique, Valencia'.",,
Y,1426,1,"1923, February",IV,62,1923-02-21,21 February 1923,,,2,Evgenii Griunberg,Not stated,Berlin,Berlin,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Original,Russian,Bibliothèque Nationale de France,,,
Y,1428,1,"1923, February",IV,66,1923-02-22,22 February 1923,,,1,Grzegorz Fitelberg,Not stated,Warsaw,Warsaw,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Original,Russian,Bibliothèque Nationale de France,,,
Y,1429,1,"1923, February",IV,67,1923-02-23,23 February 1923,,,2,Clerical assistant,Nürnbergerstrasse 36,Leipzig,"Nürnbergerstrasse 36, Leipzig",Breitkopf & Hartel,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Letter,Handwritten,Original,English,Bibliothèque Nationale de France,,,
Y,1430,1,"1923, February",IV,69,1923-02-24,24 February 1923,,,2,Jean Gay,Not stated,Angers,Angers,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Original,French,Bibliothèque Nationale de France,,,
Y,1433,1,"1923, February",IV,75,1923-02-27,27 February 1923,,,3,Elena Shakhovskaya,Not stated,St. Brévin l'Océan,St. Brévin l'Océan,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Original,Russian,Bibliothèque Nationale de France,,,
Y,1434,1,"1923, February",IV,78,1923-02-27,27 February 1923,,,1,Clerical assistant,Not stated,Paris,Paris,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Original,French,Bibliothèque Nationale de France,,,
Y,1432,1,"1923, February",IV,73,,,1923-02-27,[27 February 1923],2,Nadia Boulanger,36 Rue Ballu,Paris,"36 Rue Ballu, Paris",Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Original,French,Bibliothèque Nationale de France,not dated but received on 27 February [1923],,
Y,1435,1,"1923, March",IV,79,1923-03-01,01 March 1923,,,1,Director,10 Rue Chaptal,Paris,"10 Rue Chaptal, Paris","Société des Auteurs, Compositeurs et Éditeurs de Musique",Sergey Sergeevich Prokofiev,11 Rue Scribe,Paris,"11 Rue Scribe, Paris",Not stated,Letter,Handwritten,Original,French,Bibliothèque Nationale de France,,,
Y,1437,1,"1923, March",IV,81,1923-03-02,02 March 1923,,,2,Herman Schaad,29 West 42nd Street,New York,"29 West 42nd Street, New York",Not stated,Sergey Sergeevich Prokofiev,19 Hanover Square,London,"19 Hanover Square, London",Not stated,Letter,Typed,Original,English,Bibliothèque Nationale de France,,,
Y,1439,1,"1923, March",IV,84,1923-03-29,29 March 1923,,,1,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Mr Mead,Not stated,London,London,Not stated,Letter,Draft,Original,English,Bibliothèque Nationale de France,"On verso of page 1 of a letter from H. B. Schaad dated March 2nd, 1923.",,
Y,1438,1,"1923, March",IV,83,1923-03-xx,March 1923,,,1,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Herman Schaad,29 West 42nd Street,Not stated,29 West 42nd Street,Not stated,Letter,Draft,Original,English,Bibliothèque Nationale de France,"On verso of page 2 of a letter from H. B. Schaad dated March 2nd, 1923.",,
N,11615,,,XLII,101,1923-03-05,05 March 1923,,,2,Sergey Sergeevich Prokofiev,Not stated,Anvers,Anvers,Not stated,Fatma Samoilenko,1 Avenue Émile Deschanel,Paris,"1 Avenue Émile Deschanel, Paris",Not stated,Postcard,Handwritten,Photocopy,Russian,Houghton Library,,,
Y,1446,1,"1923, March",IV,92,1923-03-13,13 March 1923,,,3,Jacques Hébertot,Not stated,Paris,Paris,Not stated,Sergey Sergeevich Prokofiev,c/o American Express,Paris,"c/o American Express, Paris",Not stated,Contract,Typed,Original,French,Bibliothèque Nationale de France,"Hébertot is designated in contract as 'directeur des Théâtres des Champs-Elysées, 13 - 15 Avenue Montaigne,  Paris'.",,
Y,1445,1,"1923, March",IV,90,1923-03-14,14 March 1923,,,2,Efrem Kurtz,Waitzstrasse 19,Berlin,"Waitzstrasse 19, Berlin",Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Original,Russian,Bibliothèque Nationale de France,,,
Y,1448,1,"1923, March",IV,95,1923-03-16,16 March 1923,,,1,Jacques Hébertot,13 - 15 Avenue Montaigne,Paris,"13 - 15 Avenue Montaigne, Paris",Not stated,Sergey Sergeevich Prokofiev,c/o American Express,Paris,"c/o American Express, Paris",Not stated,Letter,Typed,Original,French,Bibliothèque Nationale de France,,,
Y,1449,1,"1923, March",IV,96,1923-03-25,25 March 1923,,,1,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Jacques Hébertot,Not stated,Not stated,Not stated,Not stated,Letter,Draft,Original,French,Bibliothèque Nationale de France,"On verso of letter from Jacques Hebertot dated March 16th, 1923.",,
Y,1450,1,"1923, March",IV,97,1923-03-17,17 March 1923,,,1,Spencer B. Driggs,17 East 42nd Street,New York,"17 East 42nd Street, New York",Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Typed,Original,English,Bibliothèque Nationale de France,,,
Y,1451,1,"1923, March",IV,98,1923-03-31,31 March 1923,,,1,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Spencer B. Driggs,Not stated,New York,New York,Not stated,Letter,Draft,Original,English,Bibliothèque Nationale de France,"On verso of letter from Spencer B. Driggs dated March 17th, 1923.",,
Y,1416,1,"1923, March",IV,46,1923-03-17,17 March 1923,,,1,"Vice President of ""Comite de Secours Immediats aux Refugies Civils de Russie""",171 Ch de Vleugrat,Brussels,"171 Ch de Vleugrat, Brussels",Not stated,Sergey Sergeevich Prokofiev,Not stated,Paris,Paris,Not stated,Letter,Typed,Original,French,Unknown,"Letter is from La Vice Presidente, first name is ""Marie,"" of ""Comite de Secours Immediats aux Refugies Civils de Russie""",,
Y,1453,1,"1923, March",IV,101,1923-03-18,18 March 1923,,,2,Hanna Ripert,Not stated,Paris,Paris,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Original,French,Bibliothèque Nationale de France,Address given 'Avenue Rachele 15'.,,
N,1667,,,IV,361,1923-03-18,18 March 1923,,,3,Sergey Sergeevich Prokofiev,5 Rue Charles Dickens,Paris,"5 Rue Charles Dickens, Paris",Not stated,Fitzhugh Haensel,Not stated,Not stated,Not stated,Not stated,Letter,Draft,Photocopy,English,Bibliothèque Nationale de France,,,
N,11730,,,XLIII,31,1923-03-20,20 March 1923,,,2,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Pierre Petrovich Souvchinsky,Not stated,Not stated,Not stated,Not stated,Letter,Typed,Photocopy,Russian,Unknown,,,
Y,1455,1,"1923, March",IV,103,1923-03-21,21 March 1923,,,2,Ephraim Gottlieb,"39 South La Salle Street, Suite 418-24",Chicago,"39 South La Salle Street, Suite 418-24, Chicago",Not stated,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Letter,Typed,Original,English,Bibliothèque Nationale de France,,,
Y,1456,1,"1923, March",IV,105,1923-03-22,22 March 1923,,,1,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,"Director of Chemins de Fer de l'Est, Paris",Not stated,Paris,Paris,Not stated,Letter,Draft,Original,French,Bibliothèque Nationale de France,,,
N,1457,1,"1923, March",IV,106,1923-03-xx,March 1923,,,1,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Letter,Draft,Photocopy,French,Bibliothèque Nationale de France,"On verso of letter from Sergei Prokofiev to Director des chmin de Fer de l'Est dated March 22nd, 1923.",,
Y,1458,1,"1923, March",IV,107,1923-03-22,22 March 1923,,,1,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Not stated,c/o American Express,Paris,"c/o American Express, Paris",Not stated,Letter,Draft,Original,French,Bibliothèque Nationale de France,,,
Y,1459,1,"1923, March",IV,108,1923-03-31,31 March 1923,,,1,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Ernest Alexandrovich Oeberg,Not stated,Not stated,Not stated,Not stated,Letter,Draft,Original,Russian,Bibliothèque Nationale de France,"On verso of letter from ""Not stated"" dated March 22nd, 1923. ",,
Y,1460,1,"1923, March",IV,109,1923-03-23,23 March 1923,,,1,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Warren Klein,Not stated,Not stated,Not stated,Not stated,Letter,Draft,Original,English,Bibliothèque Nationale de France,,,
Y,1461,1,"1923, March",IV,110,1923-03-23,23 March 1923,,,1,Clerical assistant,Los Madrazo 14,Madrid,"Los Madrazo 14, Madrid",Not stated,Sergey Sergeevich Prokofiev,Villa Christophorus,Ettal,"Villa Christophorus, Ettal",Not stated,Letter,Typed,Original,French,Bibliothèque Nationale de France,,,
Y,1462,1,"1923, March",IV,111,1923-03-31,31 March 1923,,,1,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Letter,Draft,Original,French,Bibliothèque Nationale de France,"On verso of letter from Clerical Assistant to Sergei Prokofiev dated March 23rd, 1923.",,
Y,1463,1,"1923, March",IV,112,1923-03-24,24 March 1923,,,1,Jacques Hébertot,Not stated,Paris,Paris,Not stated,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Telegram,Handwritten,Original,French,Bibliothèque Nationale de France,,,
Y,1464,1,"1923, March",IV,113,1923-03-24,24 March 1923,,,2,Nikolai Titovich Kucheriavy,Not stated,Riga,Riga,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Typed,Original,Russian,Bibliothèque Nationale de France,Full address: 'Maskavas iela 235'.,,
Y,1465,1,"1923, March",IV,115,1923-03-24,24 March 1923,,,2,Mr Zingel,Dessauerstrasse 17,Berlin,"Dessauerstrasse 17, Berlin",Not stated,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Letter,Typed,Original,German,Bibliothèque Nationale de France,,,
Y,1466,1,"1923, March",IV,117,1923-03-26,26 March 1923,,,1,Efrem Kurtz,Not stated,Berlin,Berlin,Not stated,Sergey Sergeevich Prokofiev,Villa Christophorus,Ettal,"Villa Christophorus, Ettal",Not stated,Telegram,Handwritten,Original,German,Bibliothèque Nationale de France,,,
Y,1467,1,"1923, March",IV,118,1923-03-27,27 March 1923,,,4,Anna Ingerman,Not stated,New York,New York,Not stated,Sergey Sergeevich Prokofiev,27 Rue La Fontaine,Paris,"27 Rue La Fontaine, Paris",Not stated,Letter,Handwritten,Original,Russian,Bibliothèque Nationale de France,Address (handwritten) appears to be 418 C.P. (Central Park?) West.,,
Y,1468,1,"1923, March",IV,122,1923-03-29,29 March 1923,,,1,Herman Schaad,29 West 42nd Street,New York,"29 West 42nd Street, New York",Not stated,Sergey Sergeevich Prokofiev,19 Hanover Square,London,"19 Hanover Square, London",Not stated,Letter,Typed,Original,English,Bibliothèque Nationale de France,,,
Y,1469,1,"1923, March",IV,123,1923-03-29,29 March 1923,,,2,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Letter,Draft,Original,English,Bibliothèque Nationale de France,,,
N,1470,,,IV,125,1923-03-31,31 March 1923,,,1,Ernest Alexandrovich Oeberg,Not stated,Leipzig,Leipzig,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,,,
Y,1472,1,"1923, March",IV,127,1923-03-31,31 March 1923,,,1,Director,10 Rue Chaptal,Paris,"10 Rue Chaptal, Paris","Société des Auteurs, Compositeurs et Éditeurs de Musique",Sergey Sergeevich Prokofiev,c/o American Express,Paris,"c/o American Express, Paris",Not stated,Document,Printed,Original,French,Bibliothèque Nationale de France,,,
N,1452,,,IV,99,1923-03-xx,March 1923,,,2,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,List,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,In Miscenalaneous?,,
Y,1474,1,"1923, April",IV,129,1923-04-04,04 April 1923,,,1,Alfred Mead,135-7 New Bond Street,London,"135-7 New Bond Street, London",Not stated,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Letter,Typed,Original,English,Bibliothèque Nationale de France,,,
Y,1475,1,"1923, April",IV,130,1923-04-10,10 April 1923,,,1,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Alfred Mead,135-7 New Bond Street,London,"135-7 New Bond Street, London",Not stated,Letter,Draft,Original,English,Bibliothèque Nationale de France,"On verso of letter from Alfred Mead to Sergei Prokofiev dated April 4th, 1923.",,
Y,1476,1,"1923, April",IV,131,1923-04-04,04 April 1923,,,1,Jacques Hébertot,13 - 15 Avenue Montaigne,Paris,"13 - 15 Avenue Montaigne, Paris",Not stated,Sergey Sergeevich Prokofiev,11 Rue Scribe,Paris,"11 Rue Scribe, Paris",Not stated,Letter,Typed,Original,French,Bibliothèque Nationale de France,,,
Y,1477,1,"1923, April",IV,132,1923-04-14,14 April 1923,,,1,Sergey Sergeevich Prokofiev,11 Rue Scribe,Paris,"11 Rue Scribe, Paris",Not stated,Jacques Hébertot,13-15 Avenue Montaigne,Paris,"13-15 Avenue Montaigne, Paris",Not stated,Letter,Draft,Original,French,Bibliothèque Nationale de France,"On verso of letter from Jacques Hibertot to Sergei Prokofiev dated April 4th, 1923.",,
N,11731,,,XLIII,33,1923-04-04,04 April 1923,,,2,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Pierre Petrovich Souvchinsky,Not stated,Not stated,Not stated,Not stated,Letter,Typed,Photocopy,Russian,Bibliothèque Nationale de France,,,
N,1478,,,IV,133,1923-04-05,05 April 1923,,,1,Clerical assistant,1-3 Rue des Italiens,Paris,"1-3 Rue des Italiens, Paris",Not stated,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Confirmation of payment,Typed,Photocopy,English,Bibliothèque Nationale de France,,,
Y,1479,1,"1923, April",IV,134,1923-04-06,06 April 1923,,,1,Chemins de Fer de L'est,187 Rue de Lafayette,Paris,"187 Rue de Lafayette, Paris",Not stated,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Letter,Handwritten,Original,French,Bibliothèque Nationale de France,,,
Y,1480,1,"1923, April",IV,135,1923-04-09,09 April 1923,,,1,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,De Vocht,Not stated,Not stated,Not stated,Not stated,Letter,Draft,Original,French,Bibliothèque Nationale de France,Recipient: 'De Vocht',,
Y,1481,1,"1923, April",IV,136,1923-04-09,09 April 1923,,,1,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Letter,Draft,Original,English,Bibliothèque Nationale de France,"On verso of letter from Sergei Prokofiev to De Vocht dated April 9th, 1923.",,
Y,1483,1,"1923, April",IV,139,1923-04-10,10 April 1923,,,1,Herman Schaad,29 West 42nd Street,New York,"29 West 42nd Street, New York",Not stated,Sergey Sergeevich Prokofiev,19 Hanover Square,London,"19 Hanover Square, London",Not stated,Letter,Typed,Original,English,Bibliothèque Nationale de France,,,
Y,1484,1,"1923, April",IV,140,1923-04-12,12 April 1923,,,2,Ernest Ansermet,2 Boulevard du Théâtre,Geneva,"2 Boulevard du Théâtre, Geneva",Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Original,French,Bibliothèque Nationale de France,,,
Y,1485,1,"1923, April",IV,141,1923-04-17,17 April 1923,,,1,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Ernest Ansermet,2 Boulevard du Théâtre,Geneva,"2 Boulevard du Théâtre, Geneva",Not stated,Letter,Draft,Original,French,Bibliothèque Nationale de France,"On verso of letter from Ernest Ansermet to Sergei Prokofiev dated April 12th, 1923.",,
Y,1473,1,"1923, April",IV,128,1923-04-15,15 April 1923,,,1,Clerical assistant,Nürnbergerstrasse 36,Leipzig,"Nürnbergerstrasse 36, Leipzig",Breitkopf & Hartel,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Letter,Typed,Original,English,Bibliothèque Nationale de France,,,
Y,1486,1,"1923, April",IV,142,1923-04-15,15 April 1923,,,1,Instituto del Convegno,Via Borgo Spesso N. 5 - 7,Milan,"Via Borgo Spesso N. 5 - 7, Milan",Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Original,French,Bibliothèque Nationale de France, Full address; 'Istituto del Convegno - Circolo di Cultura - Rivista di Letteratura e di Arte - Libreria'.  Signature unclear: 'Ferrien'?,,
Y,1487,1,"1923, April",IV,143,1923-04-18,18 April 1923,,,2,Clerical assistant,Nürnbergerstrasse 36,Leipzig,"Nürnbergerstrasse 36, Leipzig",Breitkopf & Hartel,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Letter,Typed,Original,French,Bibliothèque Nationale de France,,,
Y,1488,1,"1923, April",IV,144,1923-04-21,21 April 1923,,,1,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Clerical assistant,Nürnbergerstrasse 36,Leipzig,"Nürnbergerstrasse 36, Leipzig",Breitkopf & Hartel,Letter,Draft,Original,English,Bibliothèque Nationale de France,"On verso of letter from Breitopf and Hartel to Sergei Prokofiev dated April 18th, 1923.",,
Y,1489,1,"1923, April",IV,145,1923-04-20,20 April 1923,,,1,Jacques Hébertot,13 - 15 Avenue Montaigne,Paris,"13 - 15 Avenue Montaigne, Paris",Not stated,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Letter,Typed,Original,French,Bibliothèque Nationale de France,,,
Y,1490,1,"1923, April",IV,146,1923-04-26,26 April 1923,,,2,Ernest Alexandrovich Oeberg,Not stated,Berlin,Berlin,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Draft,Original,Russian,Bibliothèque Nationale de France,,,
Y,1491,1,"1923, April",IV,148,1923-04-26,26 April 1923,,,1,Ernest Ansermet,Not stated,Monte-Carlo,Monte-Carlo,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Original,French,Bibliothèque Nationale de France,,,
Y,1492,1,"1923, April",IV,149,1923-05-03,03 May 1923,,,1,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Ernest Ansermet,Not stated,Not stated,Not stated,Not stated,Letter,Draft,Original,French,Bibliothèque Nationale de France,"On verso of letter from Ernest Ansermet to Sergei Prokofiev dated April 26th, 1923.",,
Y,1493,1,"1923, April",IV,150,1923-04-28,28 April 1923,,,1,Herman Keil,Not stated,Frankfurt,Frankfurt,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Original,French,Bibliothèque Nationale de France,"Letter giving SP address of Mrs Ripert's bank: Banque Hollando-Américaine, 69 Boulevard Haussmann, Paris, France.",,
Y,1494,1,"1923, April",IV,151,1923-04-30,30 April 1923,,,2,Ernest Alexandrovich Oeberg,Dessauerstrasse 17,Berlin,"Dessauerstrasse 17, Berlin",Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Original,Russian,Bibliothèque Nationale de France,,,
Y,1495,1,"1923, May",IV,153,1923-05-01,01 May 1923,,,1,Ernest Alexandrovich Oeberg,Dessauerstrasse 17,Berlin,"Dessauerstrasse 17, Berlin",Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Postcard,Handwritten,Original,Russian,Bibliothèque Nationale de France,,,
Y,1496,1,"1923, May",IV,154,1923-05-03,03 May 1923,,,2,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Ernest Alexandrovich Oeberg,Not stated,Leipzig,Leipzig,Not stated,Letter,Draft,Original,Russian,Bibliothèque Nationale de France,,,
Y,1441,1,"1923, May",IV,85,1923-05-05,05 May 1923,,,2,Ernest Alexandrovich Oeberg,Not stated,Leipzig,Leipzig,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Original,Russian,Bibliothèque Nationale de France,,,
Y,1442,1,"1923, May",IV,87,1923-05-23,23 May 1923,,,2,Not stated,Not stated,Not stated,Not stated,Not stated,Ernest Alexandrovich Oeberg,Not stated,Not stated,Not stated,Not stated,Letter,Draft,Original,Russian,Bibliothèque Nationale de France,"On verso of letter from Ernest Alexandrovich Oeberg to Sergei Prokofiev dated May 3rd, 1923.",,
Y,1497,1,"1923, May",IV,156,1923-05-08,08 May 1923,,,2,Clerical assistant,Nürnbergerstrasse 36,Leipzig,"Nürnbergerstrasse 36, Leipzig",Breitkopf & Hartel,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Letter,Typed,Original,French,Bibliothèque Nationale de France,,,
Y,1498,1,"1923, May",IV,157,1923-05-28,28 May 1923,,,1,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Clerical assistant,Nürnbergerstrasse 36,Leipzig,"Nürnbergerstrasse 36, Leipzig",Breitkopf & Hartel,Letter,Draft,Original,English,Bibliothèque Nationale de France,"On verso of letter from Breitkopf and Hartel to Sergei Prokofiev dated May 8th, 1923.",,
Y,1499,1,"1923, May",IV,158,1923-05-09,09 May 1923,,,4,Katia Ignatieva,Not stated,Not stated,Not stated,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Original,Russian,Bibliothèque Nationale de France,,,
N,1500,,,IV,162,1923-05-11,11 May 1923,,,1,Clerical assistant,10 Rue Chaptal,Paris,"10 Rue Chaptal, Paris",Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Receipt,Printed,Photocopy,French,Bibliothèque Nationale de France,,,
Y,1501,1,"1923, May",IV,163,1923-05-11,11 May 1923,,,1,Franco-American Musical Society,541 Madison Avenue,New York,"541 Madison Avenue, New York",Not stated,Sergey Sergeevich Prokofiev,Not stated,Paris,Paris,Not stated,Letter,Typed,Original,French,Bibliothèque Nationale de France,,,
Y,1502,1,"1923, May",IV,164,1923-05-11,11 May 1923,,,2,Rob Forberg,Not stated,Leipzig,Leipzig,Not stated,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Letter,Handwritten,Original,German,Bibliothèque Nationale de France,,,
Y,1503,1,"1923, May",IV,165,1923-05-22,22 May 1923,,,1,Sergey Sergeevich Prokofiev,Not stated,Ettal,Ettal,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Letter,Draft,Original,Russian,Bibliothèque Nationale de France,"On verso of letter from Rob Forberg to Sergei Prokofiev dated May 11th, 1923.",,
